fips,county_name,poverty_rate,unemployment_rate,food_insecurity_rate,housing_cost_burden,poverty_rate_scaled,unemployment_rate_scaled,food_insecurity_rate_scaled,housing_cost_burden_scaled
39079,Jackson,17.7,5.2,18.2,10.089503662,72.98850574712644,55.555555555555564,76.72413793103449,40.08169866819025
39081,Jefferson,16.9,5.8,17.5,10.003803728,68.39080459770115,72.22222222222221,70.6896551724138,39.444185865407434
39083,Knox,11.0,4.1,14.5,8.4649122807,34.48275862068966,24.999999999999986,44.82758620689655,27.996534111711792
39085,Lake,8.2,3.6,12.6,8.2248642001,18.39080459770115,11.11111111111111,28.44827586206896,26.210841666885212
39087,Lawrence,17.5,5.0,18.5,12.399283796,71.83908045977012,50.0,79.3103448275862,57.26391034922106
39089,Licking,10.1,4.0,13.2,8.7419232231,29.310344827586206,22.22222222222222,33.62068965517241,30.057189401025425
39091,Logan,11.3,4.0,13.4,7.1661760771,36.20689655172415,22.22222222222222,35.3448275862069,18.335371977881817
39093,Lorain,12.8,4.0,14.7,11.685965345,44.82758620689656,22.22222222222222,46.55172413793103,51.95760935517717
39095,Lucas,17.8,6.0,15.8,12.428107739,73.56321839080461,77.77777777777779,56.0344827586207,57.47832863207739
39097,Madison,9.7,3.7,13.0,6.8166776969,27.01149425287356,13.888888888888891,31.896551724137932,15.735490256510241
39099,Mahoning,18.3,5.0,16.1,10.650083612,76.4367816091954,50.0,58.620689655172434,44.25179400465037
39101,Marion,15.3,4.4,16.8,10.285833507,59.19540229885058,33.33333333333334,64.65517241379311,41.542175752756755
39103,Medina,6.1,3.3,11.4,7.793951385,6.321839080459769,2.7777777777777684,18.10344827586207,23.005326520170772
39105,Meigs,22.0,6.8,19.4,10.981775426,97.70114942528737,100.0,87.06896551724138,46.71921455135991
39107,Mercer,6.1,3.3,11.0,6.239757973,6.321839080459769,2.7777777777777684,14.655172413793101,11.44384505916192
39109,Miami,8.6,3.9,12.4,8.4260547056,20.68965517241379,19.44444444444444,26.724137931034484,27.7074766941023
39111,Monroe,15.1,6.2,17.1,7.2545454545,58.04597701149426,83.33333333333334,67.24137931034485,18.99274248958425
39113,Montgomery,14.9,4.5,14.6,11.893040949,56.896551724137936,36.11111111111111,45.689655172413794,53.49802301166822
39115,Morgan,14.3,5.5,17.5,8.6126126126,53.448275862068975,63.888888888888886,70.6896551724138,29.095261358824004
39117,Morrow,10.9,4.2,13.8,6.5764023211,33.9080459770115,27.777777777777782,38.79310344827587,13.948106986577399
39119,Muskingum,15.6,4.6,16.1,11.360929124,60.919540229885065,38.88888888888888,58.620689655172434,49.53969906535549
39121,Noble,11.7,6.4,18.0,6.4008859358,38.50574712643678,88.8888888888889,75.0,12.642459041423688
39123,Ottawa,8.4,6.0,13.7,7.0931537598,19.540229885057474,77.77777777777779,37.93103448275862,17.792166633434082
39125,Paulding,9.6,4.0,13.6,5.4818388956,26.4367816091954,22.22222222222222,37.068965517241374,5.805764692427599
39127,Perry,14.7,5.0,16.4,9.4172134311,55.747126436781606,50.0,61.20689655172413,35.080602291796836
39129,Pickaway,12.1,4.1,14.5,9.6388482186,40.804597701149426,24.999999999999986,44.82758620689655,36.72932018431347
39131,Pike,19.9,5.4,20.4,11.624513619,85.63218390804597,61.11111111111113,95.6896551724138,51.500476423451694
